"filename", "language", "Rust", "Makefile", "comment", "blank", "total"
"/home/rand/xv6-rust/kernel/src/lock/spinlock.rs", "Rust", 84, 0, 7, 28, 119
"/home/rand/xv6-rust/kernel/src/logo/mod.rs", "Rust", 1, 0, 0, 1, 2
"/home/rand/xv6-rust/kernel/src/main.rs", "Rust", 120, 0, 25, 34, 179
"/home/rand/xv6-rust/kernel/src/memory/address.rs", "Rust", 122, 0, 2, 42, 166
"/home/rand/xv6-rust/kernel/src/memory/kalloc.rs", "Rust", 46, 0, 2, 13, 61
"/home/rand/xv6-rust/kernel/src/memory/mapping/kernel_map.rs", "Rust", 92, 0, 17, 19, 128
"/home/rand/xv6-rust/kernel/src/memory/mapping/mod.rs", "Rust", 13, 0, 0, 5, 18
"/home/rand/xv6-rust/kernel/src/memory/mapping/page_table.rs", "Rust", 535, 0, 130, 95, 760
"/home/rand/xv6-rust/kernel/src/memory/mapping/page_table_entry.rs", "Rust", 132, 0, 8, 38, 178
"/home/rand/xv6-rust/kernel/src/memory/mod.rs", "Rust", 80, 0, 8, 14, 102
"/home/rand/xv6-rust/kernel/src/misc.rs", "Rust", 51, 0, 3, 7, 61
"/home/rand/xv6-rust/kernel/src/net/e1000.rs", "Rust", 0, 0, 194, 43, 237
"/home/rand/xv6-rust/kernel/src/net/mbuf.rs", "Rust", 77, 0, 8, 19, 104
"/home/rand/xv6-rust/kernel/src/net/mod.rs", "Rust", 3, 0, 0, 0, 3
"/home/rand/xv6-rust/kernel/src/net/protocol.rs", "Rust", 0, 0, 315, 67, 382
"/home/rand/xv6-rust/kernel/src/printf.rs", "Rust", 79, 0, 6, 10, 95
"/home/rand/xv6-rust/kernel/src/process/context.rs", "Rust", 63, 0, 2, 7, 72
"/home/rand/xv6-rust/kernel/src/process/cpu.rs", "Rust", 152, 0, 50, 39, 241
"/home/rand/xv6-rust/kernel/src/process/elf.rs", "Rust", 270, 0, 38, 49, 357
"/home/rand/xv6-rust/kernel/src/process/manager.rs", "Rust", 284, 0, 116, 76, 476
"/home/rand/xv6-rust/kernel/src/process/mod.rs", "Rust", 42, 0, 37, 24, 103
"/home/rand/xv6-rust/kernel/src/process/process.rs", "Rust", 303, 0, 161, 134, 598
"/home/rand/xv6-rust/kernel/src/process/thread.rs", "Rust", 32, 0, 14, 22, 68
"/home/rand/xv6-rust/kernel/src/process/trapframe.rs", "Rust", 44, 0, 13, 5, 62
"/home/rand/xv6-rust/kernel/src/shutdown.rs", "Rust", 38, 0, 3, 12, 53
"/home/rand/xv6-rust/kernel/src/syscall/file.rs", "Rust", 458, 0, 33, 65, 556
"/home/rand/xv6-rust/kernel/src/syscall/ipc.rs", "Rust", 255, 0, 26, 60, 341
"/home/rand/xv6-rust/kernel/src/syscall/mod.rs", "Rust", 232, 0, 7, 45, 284
"/home/rand/xv6-rust/kernel/src/syscall/proc.rs", "Rust", 99, 0, 3, 34, 136
"/home/rand/xv6-rust/kernel/src/trap.rs", "Rust", 206, 0, 78, 67, 351
"Total", "-", 7666, 45, 2023, 1907, 11641
